_id,timestamp,double_values_0,double_values_1,double_values_2,accuracy
10663,1373576774054,-3.358978271,4.818786621,7.599380493,2
10664,1373576774125,-3.361358643,4.819976807,8.034988403,2
10665,1373576774207,-3.386352539,4.952087402,8.324203491,2
10666,1373576774260,-3.316131592,4.998504639,8.483688354,2
10667,1373576774334,-3.203063965,4.955657959,8.500350952,2
10668,1373576774402,-3.044769287,4.971130371,8.464645386,2
10669,1373576774457,-2.82220459,5.03302002,8.127822876,2
10670,1373576774534,-2.621063232,5.03302002,7.967147827,2
10671,1373576774610,-2.427062988,5.042541504,7.754104614,2
10672,1373576774663,-2.291381836,5.091339111,7.66960144,2
10673,1373576774732,-2.189025879,5.115142822,7.598190308,2
10674,1373576774844,-2.204498291,5.155609131,7.732681274,2
10675,1373576774896,-2.237823486,5.143707275,7.826705933,2
10676,1373576774971,-2.392547607,5.124664307,8.0599823,2
10677,1373576775047,-2.618682861,5.090148926,8.298019409,2
10678,1373576775122,-2.81149292,5.065155029,8.512252808,2
10679,1373576775216,-2.901947021,4.998504639,8.53843689,2
10680,1373576775290,-2.994781494,4.963989258,8.750289917,2
10681,1373576775305,-3.004302979,4.875915527,8.872879028,2
10682,1373576775322,-2.86505127,4.730712891,8.90977478,2
10683,1373576775345,-2.660339355,4.616455078,8.913345337,2
10684,1373576775361,-2.440155029,4.614074707,8.738388062,2
10685,1373576775387,-2.30090332,4.516479492,8.526535034,2
10686,1373576775419,-2.066436768,4.409362793,8.23374939,2
10687,1373576775436,-1.90814209,4.341522217,7.876693726,2
10688,1373576775610,-1.939086914,4.223693848,7.62437439,2
10689,1373576775629,-2.260437012,4.203460693,7.411331177,2
10690,1373576775646,-2.635345459,4.154663086,7.320877075,2
10691,1373576775664,-2.79006958,4.158233643,7.419662476,2
10692,1373576775681,-2.687713623,4.332000732,7.322067261,2
10693,1373576775751,-2.748413086,4.61050415,7.31968689,2
10694,1373576775766,-2.82220459,5.150848389,7.463699341,2
10695,1373576775782,-2.872192383,5.36151123,7.667221069,2
10696,1373576775806,-2.92098999,5.643585205,7.945724487,2
10697,1373576775821,-2.849578857,5.868530273,8.168289185,2
10698,1373576775836,-2.617492676,5.932800293,8.274215698,2
10699,1373576775852,-2.415161133,6.017303467,8.205184937,2
10700,1373576775869,-2.247344971,5.905426025,8.33253479,2
10701,1373576775885,-2.102142334,5.778076172,8.328964233,2
10702,1373576775900,-2.04977417,5.597167969,8.465835571,2
10703,1373576775915,-2.073577881,5.355560303,8.52772522,2
10704,1373576775933,-2.294952393,5.172271729,8.785995483,2
10705,1373576775950,-2.646057129,5.019927979,8.977615356,2
10706,1373576775969,-2.945983887,4.854492188,9.196609497,2
10707,1373576775988,-3.292327881,4.723571777,9.297775269,2
10708,1373576776005,-3.507751465,4.589080811,9.360855103,2
10709,1373576776022,-3.657714844,4.426025391,9.357284546,2
10710,1373576776040,-3.670806885,4.252258301,9.31086731,2
10711,1373576776058,-3.708892822,4.096343994,9.143051147,2
10712,1373576776075,-3.618438721,3.983276367,8.859786987,2
10713,1373576776091,-3.512512207,3.915435791,8.630081177,2
10714,1373576776108,-3.368499756,3.932098389,8.381332397,2
10715,1373576776125,-3.153076172,4.015411377,8.04927063,2
10716,1373576776152,-2.898376465,4.162994385,7.717208862,2
10717,1373576776168,-2.609161377,4.193939209,7.476791382,2
10718,1373576776185,-2.29019165,4.301055908,7.253036499,2
10719,1373576776203,-2.015258789,4.465301514,7.237564087,2
10720,1373576776219,-1.655822754,4.661682129,7.356582642,2
10721,1373576776235,-0.87387085,5.257965088,8.102828979,2
10722,1373576776251,-1.701049805,5.376983643,8.534866333,2
10723,1373576776267,-2.36517334,5.405548096,8.818130493,2
10724,1373576776282,-2.89956665,5.351989746,8.965713501,2
10725,1373576776298,-3.107849121,5.298431396,8.878829956,2
10726,1373576776316,-3.032867432,5.200836182,8.943099976,2
10727,1373576776333,-2.966217041,5.098480225,8.747909546,2
10728,1373576776348,-3.045959473,4.963989258,8.590805054,2
10729,1373576776365,-3.144744873,4.636688232,8.338485718,2
10730,1373576776380,-3.301849365,4.285583496,8.192092896,2
10731,1373576776396,-3.393493652,3.986846924,8.213516235,2
10732,1373576776412,-3.194732666,3.683349609,8.142105103,2
10733,1373576776427,-2.940032959,3.440551758,8.253982544,2
10734,1373576776443,-3.032867432,2.776428223,9.241836548,2
10735,1373576776458,-3.100708008,2.464599609,9.940475464,2
10736,1373576776473,-2.710327148,2.628845215,9.416793823,2
10737,1373576776489,-2.455627441,2.909729004,9.168045044,2
10738,1373576776505,-2.673431396,3.702392578,8.802658081,2
10739,1373576776521,-2.75793457,4.173706055,8.552719116,2
10740,1373576776538,-2.780548096,4.748565674,8.287307739,2
10741,1373576776554,-2.682952881,5.207977295,8.18019104,2
10742,1373576776574,-2.574645996,5.248443604,7.869552612,2
10743,1373576776589,-2.755554199,5.157989502,7.666030884,2
10744,1373576776624,-3.110229492,5.155609131,7.600570679,2
10745,1373576776677,-3.59463501,5.172271729,7.531539917,2
10746,1373576776728,-3.949310303,5.130615234,7.303024292,2
10747,1373576776782,-4.098083496,5.034210205,6.95072937,2
10748,1373576776837,-4.108795166,4.962799072,6.429428101,2
10749,1373576776897,-4.13973999,4.840209961,6.016433716,2
10750,1373576776943,-4.218292236,4.750946045,5.810531616,2
10751,1373576776958,-4.337310791,4.768798828,5.896224976,2
10752,1373576776975,-4.403961182,4.91519165,6.22114563,2
10753,1373576776991,-4.271850586,4.997314453,6.816238403,2
10754,1373576777014,-4.134979248,4.981842041,7.548202515,2
10755,1373576777029,-4.023101807,4.903289795,8.419418335,2
10756,1373576777051,-3.830291748,4.815216064,9.140670776,2
10757,1373576777067,-3.705322266,4.793792725,9.770278931,2
10758,1373576777081,-3.619628906,4.700958252,10.10353088,2
10759,1373576777097,-3.561309814,4.516479492,10.01902771,2
10760,1373576777113,-3.504180908,4.343902588,9.602462769,2
10761,1373576777128,-3.642242432,4.298675537,9.020462036,2
10762,1373576777143,-3.795776367,4.127288818,8.432510376,2
10763,1373576777158,-4.007629395,3.967803955,7.633895874,2
10764,1373576777173,-4.289703369,3.974945068,7.007858276,2
10765,1373576777188,-4.595581055,3.949951172,6.521072388,2
10766,1373576777203,-4.866943359,4.045166016,6.372299194,2
10767,1373576777218,-4.989532471,4.289154053,6.511550903,2
10768,1373576777232,-5.025238037,4.496246338,6.910263062,2
10769,1373576777248,-4.949066162,4.815216064,7.381576538,2
10770,1373576777265,-4.763397217,5.024688721,7.738632202,2
10771,1373576777280,-4.514648438,5.198455811,7.783859253,2
10772,1373576777307,-4.400390625,5.391265869,7.785049438,2
10773,1373576777328,-3.433959961,6.243438721,7.963577271,2
10774,1373576777344,-3.630340576,7.838287354,6.654373169,2
10775,1373576777359,-4.847900391,8.385772705,4.819107056,2
10776,1373576777376,-6.121398926,7.105133057,3.966934204,2
10777,1373576777392,-5.953582764,5.265106201,3.26234436,2
10778,1373576777414,-4.851470947,4.053497314,3.010025024,2
10779,1373576777430,-3.794586182,3.727386475,3.993118286,2
10780,1373576777445,-3.42086792,3.973754883,5.486801147,2
10781,1373576777459,-3.561309814,4.55456543,6.205673218,2
10782,1373576777474,-4.48727417,5.292480469,5.853378296,2
10783,1373576777489,-4.678894043,5.378173828,5.659378052,2
10784,1373576777505,-4.453948975,5.454345703,5.553451538,2
10785,1373576777520,-4.16116333,5.574554443,5.655807495,2
10786,1373576777537,-4.376586914,4.847351074,5.783157349,2
10787,1373576777554,-4.553924561,4.611694336,6.017623901,2
10788,1373576777569,-4.018341064,5.739990234,6.172348022,2
10789,1373576777729,-4.243286133,5.509094238,6.348495483,2
10790,1373576777745,-4.761016846,4.822357178,6.587722778,2
10791,1373576777759,-4.461090088,5.321044922,6.866226196,2
10792,1373576777774,-4.067138672,5.903045654,7.10307312,2
10793,1373576777794,-4.094512939,5.586456299,7.395858765,2
10794,1373576777810,-4.328979492,5.167510986,7.513687134,2
